tau,regime,method,direct,annealed,gain_pct,n_direct,n_annealed
1e-3,on_policy,unweighted,0.5263441594446452,0.5214220350766802,0.9351532224008028,200,200
1e-3,on_policy,oracle,0.5156671427066583,0.5102780502220243,1.0450719152566912,200,200
1e-3,on_policy,estimated_g0p95,0.5326979918735271,0.5271069667481012,1.0495675243231033,200,200
1e-3,mild_shift,unweighted,0.8224811079858079,0.8194424796792187,0.3694465778102247,200,200
1e-3,mild_shift,oracle,0.5109392596597977,0.5056080023537657,1.0434229128491241,200,200
1e-3,mild_shift,estimated_g0p95,0.5837931049098976,0.5769775587258708,1.1674591780385464,200,200
1e-3,moderate_shift,unweighted,0.7980015911185435,0.7879411198294541,1.2607081741513584,200,200
1e-3,moderate_shift,oracle,0.5951966223485391,0.5906181971660884,0.7692290262644668,200,200
1e-3,moderate_shift,estimated_g0p95,0.8387883845296564,0.8319399308544817,0.8164697796828624,200,200
1e-6,on_policy,unweighted,0.5293409751216467,0.5243793624780728,0.9373188316724673,200,200
1e-6,on_policy,oracle,0.5193017422469624,0.5151286477841093,0.8035972390149415,200,200
1e-6,on_policy,estimated_g0p95,0.5326996901754317,0.5285124376281187,0.7860437361872752,200,200
1e-6,mild_shift,unweighted,0.8111316638403938,0.8080580109106623,0.3789339100854406,200,200
1e-6,mild_shift,oracle,0.5094873798248332,0.5051516834597831,0.8509919061274298,200,200
1e-6,mild_shift,estimated_g0p95,0.58050347468417,0.5741753438453254,1.0901107598515984,200,200
1e-6,moderate_shift,unweighted,0.7981926002315802,0.7885640717485708,1.2062913738132754,200,200
1e-6,moderate_shift,oracle,0.6225623313842321,0.617384122524111,0.8317574962506402,200,200
1e-6,moderate_shift,estimated_g0p95,0.848999277979493,0.845434987915876,0.4198225082239845,200,200
